CRIMETYPE,DATETIME,CASENUMBER,DESCRIPTION,POLICEBEAT,ADDRESS,CITY,STATE,Location
ASSAULT,12/09/2017 12:43:00 PM,17-064113,OBSTRUCTS/RESISTS PUBLIC OFFICER/ETC,34X,9500 OLIVE ST,Oakland,CA,"9500 OLIVE ST
Oakland, CA
(37.749348, -122.165458)"
THEFT/LARCENY,12/12/2017 09:10:00 PM,17-919650,BURGLARY-AUTO,,LA SALLE AVE,Oakland,CA,"LA SALLE AVE
Oakland, CA
"
THEFT/LARCENY,01/22/2018 10:00:00 PM,18-005267,GRAND THEFT,04X,1500 JACKSON ST,Oakland,CA,"1500 JACKSON ST
Oakland, CA
(37.802902, -122.264655)"
THEFT/LARCENY,12/23/2017 09:30:00 AM,18-900119,BURGLARY-AUTO,,500 W 33RD / TELEGRAPH ST,Oakland,CA,"500 W 33RD / TELEGRAPH ST
Oakland, CA
"
THEFT/LARCENY,01/19/2018 07:00:00 PM,18-901807,THEFT,08X,2800 BROADWAY,Oakland,CA,"2800 BROADWAY
Oakland, CA
(37.816632, -122.263426)"
THEFT/LARCENY,11/30/2017 08:45:00 PM,17-918851,BURGLARY-AUTO,,9TH AND WEBSTER ST,Oakland,CA,"9TH AND WEBSTER ST
Oakland, CA
"
THEFT/LARCENY,12/20/2017 03:30:00 PM,17-066343,THEFT,08X,3100 SUMMIT ST,Oakland,CA,"3100 SUMMIT ST
Oakland, CA
(37.820481, -122.264281)"
THEFT/LARCENY,12/13/2017 01:10:00 PM,17-919674,THEFT,09X,5200 BROADWAY,Oakland,CA,"5200 BROADWAY
Oakland, CA
(37.836272, -122.251155)"
ASSAULT,12/29/2017 05:00:00 PM,18-000409,SHOOT AT UNOCCUPIED DWELLING/VEHICLE/ETC,34X,1600 85TH AV,Oakland,CA,"1600 85TH AV
Oakland, CA
(37.754709, -122.17504)"
ASSAULT,12/05/2017 06:30:00 PM,17-063452,THREAT CRIME:INT:TERRORIZE,06X,600 31ST ST,Oakland,CA,"600 31ST ST
Oakland, CA
(37.820542, -122.270432)"
BURGLARY,01/04/2018 03:00:00 PM,17-000709,BURGLARY-FORCIBLE ENTRY,30X,1700 67TH AVE.,Oakland,CA,"1700 67TH AVE.
Oakland, CA
(37.764008, -122.188687)"
MOTOR VEHICLE THEFT,01/26/2018 08:00:00 AM,18-006086,VEHICLE THEFT - AUTO,19X,500 E 12TH ST,Oakland,CA,"500 E 12TH ST
Oakland, CA
(37.795103, -122.254431)"
MOTOR VEHICLE THEFT,11/16/2017 11:00:00 PM,17-060321,VEHICLE THEFT - AUTO,27Y,1400 55TH AV,Oakland,CA,"1400 55TH AV
Oakland, CA
(37.767077, -122.203683)"
ASSAULT,12/20/2017 04:25:00 PM,17-066124,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,06X,2300 SAN PABLO AV,Oakland,CA,"2300 SAN PABLO AV
Oakland, CA
(37.813591, -122.274188)"
ASSAULT,01/24/2018 07:30:00 AM,18-004228,BATTERY,02Y,1600 8TH ST,Oakland,CA,"1600 8TH ST
Oakland, CA
(37.807016, -122.297404)"
BURGLARY,12/20/2017 01:00:00 AM,17-066334,BURGLARY-FORCIBLE ENTRY,03X,600 OAK ST,Oakland,CA,"600 OAK ST
Oakland, CA
(37.795564, -122.266309)"
VANDALISM,12/20/2017 08:15:00 PM,17-919696,VANDALISM,14X,500 BELLEVUE AVE,Oakland,CA,"500 BELLEVUE AVE
Oakland, CA
(37.807743, -122.253989)"
THEFT/LARCENY,12/19/2017 03:50:00 PM,18-900116,GRAND THEFT,02Y,1400 5TH ST,Oakland,CA,"1400 5TH ST
Oakland, CA
(37.803813, -122.294086)"
THEFT/LARCENY,12/17/2017 12:00:00 PM,18-900156,BURGLARY-AUTO,14Y,3300 GRAND AVE,Oakland,CA,"3300 GRAND AVE
Oakland, CA
(37.812869, -122.247077)"
THEFT/LARCENY,01/16/2018 06:30:00 PM,18-901662,BURGLARY-AUTO,17X,500 E 20TH ST,Oakland,CA,"500 E 20TH ST
Oakland, CA
(37.79957, -122.248145)"
THEFT/LARCENY,01/08/2018 01:15:00 AM,18-901567,THEFT,17X,1700 12TH AV,Oakland,CA,"1700 12TH AV
Oakland, CA
(37.792583, -122.245257)"
MOTOR VEHICLE THEFT,01/04/2018 03:22:00 PM,18-000681,VEHICLE THEFT - AUTO,30Y,7900 NEY AV,Oakland,CA,"7900 NEY AV
Oakland, CA
(37.765868, -122.165711)"
ASSAULT,11/24/2017 02:57:00 PM,17-061361,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,18X,1900 22ND AV,Oakland,CA,"1900 22ND AV
Oakland, CA
(37.788083, -122.234548)"
THEFT/LARCENY,12/22/2017 04:45:00 PM,18-900133,BURGLARY-AUTO,04X,2000 BROADWAY,Oakland,CA,"2000 BROADWAY
Oakland, CA
(37.80952, -122.267863)"
ARSON,01/12/2018 12:40:00 PM,18-002057,MAL SET/ETC FIRE PROP/ETC,10Y,800 STANFORD AV,Oakland,CA,"800 STANFORD AV
Oakland, CA
(37.846191, -122.273019)"
ASSAULT,11/25/2017 09:55:00 AM,17-061498,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,04X,1400 JEFFERSON ST,Oakland,CA,"1400 JEFFERSON ST
Oakland, CA
(37.805744, -122.274769)"
THEFT/LARCENY,12/23/2017 12:30:00 AM,18-900131,THEFT,23X,1800 34TH AVE,Oakland,CA,"1800 34TH AVE
Oakland, CA
(37.781533, -122.221411)"
VANDALISM,01/01/2018 12:00:00 AM,18-000422,VANDALISM-$400+,26Y,1100 65TH AV,Oakland,CA,"1100 65TH AV
Oakland, CA
(37.76117, -122.196899)"
ASSAULT,01/03/2018 05:30:00 PM,18-000504,BATTERY,30Y,8100 MACARTHUR BLVD,Oakland,CA,"8100 MACARTHUR BLVD
Oakland, CA
(37.763311, -122.165428)"
THEFT/LARCENY,11/29/2017 12:30:00 AM,17-918786,BURGLARY-AUTO,24Y,3100 HIGH ST,Oakland,CA,"3100 HIGH ST
Oakland, CA
(37.784722, -122.199895)"
THEFT/LARCENY,01/11/2018 05:15:00 AM,18-901801,BURGLARY-AUTO,09X,200 WHITMORE ST,Oakland,CA,"200 WHITMORE ST
Oakland, CA
(37.832938, -122.250865)"
MOTOR VEHICLE THEFT,01/03/2018 03:21:00 PM,18-000482,VEHICLE THEFT - AUTO,34X,1800 92ND AV,Oakland,CA,"1800 92ND AV
Oakland, CA
(37.750687, -122.169454)"
THEFT/LARCENY,01/18/2018 11:00:00 AM,18-901732,BURGLARY-AUTO,29X,6400 FOOTHILL BLVD,Oakland,CA,"6400 FOOTHILL BLVD
Oakland, CA
(37.770715, -122.184059)"
THEFT/LARCENY,11/28/2017 05:30:00 PM,17-918789,THEFT,05Y,2200 MANDELA PARKWAY,Oakland,CA,"2200 MANDELA PARKWAY
Oakland, CA
(37.817387, -122.289082)"
VANDALISM,11/30/2017 11:45:00 AM,17-919667,VANDALISM,,500 W MARKET ST,Oakland,CA,"500 W MARKET ST
Oakland, CA
(37.801837, -122.283077)"
ASSAULT,11/18/2017 02:37:00 PM,17-060364,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,30X,1700 69TH AV,Oakland,CA,"1700 69TH AV
Oakland, CA
(37.762917, -122.1868)"
ASSAULT,12/13/2017 11:45:00 AM,17-064750,THREAT CRIME:INT:TERRORIZE,12X,4300 BROADWAY,Oakland,CA,"4300 BROADWAY
Oakland, CA
(37.831763, -122.253982)"
FRAUD,01/22/2018 02:20:00 PM,18-901884,USE ANOTHER'S PERSONAL IDENTIFICATION TO OBTAIN CREDIT/ETC.,13Z,00 KROHN LN,Oakland,CA,"00 KROHN LN
Oakland, CA
"
THEFT/LARCENY,01/20/2018 01:00:00 AM,18-901813,BURGLARY-AUTO,01X,100 WASHINGTON ST,Oakland,CA,"100 WASHINGTON ST
Oakland, CA
(37.795899, -122.278007)"
BURGLARY,01/12/2018 12:30:00 PM,18-901505,BURGLARY-FORCIBLE ENTRY,29X,3500 SEMINARY AV,Oakland,CA,"3500 SEMINARY AV
Oakland, CA
(37.778444, -122.181514)"
THEFT/LARCENY,01/23/2018 09:38:00 AM,18-004016,BURGLARY-AUTO,30Y,2600 73RD AV,Oakland,CA,"2600 73RD AV
Oakland, CA
(37.76693, -122.175377)"
THEFT/LARCENY,11/29/2017 02:10:00 PM,17-918828,BURGLARY-AUTO,,12500 CAMPUS DRIVE,Oakland,CA,"12500 CAMPUS DRIVE
Oakland, CA
(37.791326, -122.167691)"
THEFT/LARCENY,01/16/2018 11:20:00 AM,18-901720,THEFT,32X,10100 INTERNATIONAL BLVD,Oakland,CA,"10100 INTERNATIONAL BLVD
Oakland, CA
(37.742106, -122.168833)"
THEFT/LARCENY,01/21/2018 07:05:00 PM,18-901907,BURGLARY-AUTO,77X,GRAND AV,Oakland,CA,"GRAND AV
Oakland, CA
"
ROBBERY,12/05/2017 10:30:00 AM,17-063345,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",03X,700 WEBSTER ST,Oakland,CA,"700 WEBSTER ST
Oakland, CA
(37.798567, -122.271819)"
ASSAULT,01/03/2018 01:30:00 AM,18-000375,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,20X,1500 27TH AV,Oakland,CA,"1500 27TH AV
Oakland, CA
(37.781654, -122.230624)"
MOTOR VEHICLE THEFT,02/02/2018 09:30:00 PM,18-006123,VEHICLE THEFT - AUTO,15X,400 HADDON RD,Oakland,CA,"400 HADDON RD
Oakland, CA
(37.802476, -122.247367)"
ASSAULT,11/22/2017 04:37:00 PM,17-061068,ASSAULT WITH FIREARM ON PERSON,30X,7400 LOCKWOOD ST,Oakland,CA,"7400 LOCKWOOD ST
Oakland, CA
(37.762252, -122.180482)"
MOTOR VEHICLE THEFT,01/18/2018 12:00:00 AM,18-004977,VEHICLE THEFT - AUTO,31Z,400 DOUGLAS AV,Oakland,CA,"400 DOUGLAS AV
Oakland, CA
(37.730215, -122.182293)"
THEFT/LARCENY,01/16/2018 01:30:00 PM,18-901796,GRAND THEFT,14X,300 LEE ST,Oakland,CA,"300 LEE ST
Oakland, CA
(37.811825, -122.256401)"
THEFT/LARCENY,12/08/2017 05:45:00 PM,17-919666,BURGLARY-AUTO,01X,100 MARTIN LUTHER KING JR W,Oakland,CA,"100 MARTIN LUTHER KING JR W
Oakland, CA
"
DRUGS/ALCOHOL VIOLATIONS,11/25/2017 10:34:00 AM,17-061502,POSSESS CONTROLLED SUBSTANCE,10Y,600 46TH ST,Oakland,CA,"600 46TH ST
Oakland, CA
(37.834209, -122.266853)"
BURGLARY,01/20/2018 01:00:00 AM,18-901844,BURGLARY-FORCIBLE ENTRY,08X,3000 RICHMOND BLVD,Oakland,CA,"3000 RICHMOND BLVD
Oakland, CA
(37.818388, -122.260519)"
ROBBERY,12/30/2017 06:30:00 PM,18-000053,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",02X,900 8TH ST,Oakland,CA,"900 8TH ST
Oakland, CA
(37.803809, -122.283345)"
THEFT/LARCENY,01/12/2018 07:25:00 PM,18-901420,GRAND THEFT,01X,200 FRANKLIN ST,Oakland,CA,"200 FRANKLIN ST
Oakland, CA
(37.795585, -122.275115)"
ASSAULT,02/03/2018 11:01:00 PM,18-006219,BATTERY,03X,1300 HARRISON ST,Oakland,CA,"1300 HARRISON ST
Oakland, CA
(37.80223, -122.268037)"
ASSAULT,11/24/2017 10:20:00 PM,17-061427,BATTERY W/SERIOUS BODILY INJURY,28X,2700 RAWSON ST,Oakland,CA,"2700 RAWSON ST
Oakland, CA
(37.777451, -122.196855)"
VANDALISM,12/22/2017 10:30:00 PM,18-900095,VANDALISM,14X,500 BELLEVUE AVE,Oakland,CA,"500 BELLEVUE AVE
Oakland, CA
(37.807743, -122.253989)"
VANDALISM,01/12/2018 01:00:00 AM,18-901511,VANDALISM,13Y,600 GRAVATT DR,Oakland,CA,"600 GRAVATT DR
Oakland, CA
"
ASSAULT,01/01/2018 06:39:00 PM,18-000118,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,31X,00 SWAN WY,Oakland,CA,"00 SWAN WY
Oakland, CA
"
THEFT/LARCENY,01/23/2018 03:03:00 PM,18-004146,BURGLARY-AUTO,26X,600 HIGH ST,Oakland,CA,"600 HIGH ST
Oakland, CA
(37.767688, -122.221048)"
ASSAULT,12/06/2017 03:26:00 PM,17-063577,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,23X,3300 SAN LEANDRO ST,Oakland,CA,"3300 SAN LEANDRO ST
Oakland, CA
(37.774825, -122.225927)"
MOTOR VEHICLE THEFT,11/19/2017 04:30:00 PM,17-060724,VEHICLE THEFT - AUTO,33X,1000 88TH AV,Oakland,CA,"1000 88TH AV
Oakland, CA
(37.748173, -122.181955)"
DRUGS/ALCOHOL VIOLATIONS,01/12/2018 02:58:00 AM,18-001998,"IT IS UNLAWFUL TO POSSESS AN OPIUM PIPE OR ANY DEVICE, CONTRIVANCE, INSTRUMENT, OR PARAPHERNALIA USED FOR UNLAWFULLY INJECTING OR SMOKING.",02X,900 8TH ST,Oakland,CA,"900 8TH ST
Oakland, CA
(37.803809, -122.283345)"
MOTOR VEHICLE THEFT,11/29/2017 07:20:00 PM,17-918795,ATTEMPT VEHICLE THEFT-AUTO,,1000 COTTON ST ST,Oakland,CA,"1000 COTTON ST ST
Oakland, CA
(37.779832, -122.239186)"
THEFT/LARCENY,12/12/2017 11:00:00 PM,17-919665,BURGLARY-AUTO,30Y,7600 SUNKIST DRIVE,Oakland,CA,"7600 SUNKIST DRIVE
Oakland, CA
(37.770691, -122.16521)"
THEFT/LARCENY,01/14/2018 09:15:00 PM,18-901542,BURGLARY-AUTO,77X,WEBSTER ST,Oakland,CA,"WEBSTER ST
Oakland, CA
"
VANDALISM,11/27/2017 11:00:00 PM,17-918804,VANDALISM,,MARTIN LUTHER KING JR/ADELINE,Oakland,CA,"MARTIN LUTHER KING JR/ADELINE
Oakland, CA
"
ROBBERY,12/11/2017 08:03:00 PM,17-066481,CARJACKING WITH FIREARM,19X,300 E 12TH ST,Oakland,CA,"300 E 12TH ST
Oakland, CA
(37.796574, -122.256491)"
THEFT/LARCENY,01/15/2018 03:30:00 PM,18-901579,BURGLARY-AUTO,31X,7300 EDGEWATER DR,Oakland,CA,"7300 EDGEWATER DR
Oakland, CA
(37.745757, -122.206424)"
THEFT/LARCENY,01/21/2018 03:00:00 AM,18-901862,BURGLARY-AUTO,35Y,11800 FOOTHILL WY,Oakland,CA,"11800 FOOTHILL WY
Oakland, CA
(37.736218, -122.139542)"
ASSAULT,12/06/2017 03:10:00 PM,17-063567,SHOOT AT INHABITED DWELLING/VEHICLE/ETC,10Y,4500 MARKET ST,Oakland,CA,"4500 MARKET ST
Oakland, CA
(37.834625, -122.27297)"
ROBBERY,12/21/2017 01:00:00 PM,17-066332,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",34X,1700 84TH AV,Oakland,CA,"1700 84TH AV
Oakland, CA
(37.756024, -122.174434)"
THEFT/LARCENY,12/12/2017 07:45:00 PM,17-919675,BURGLARY-AUTO,03X,1100 OAK ST,Oakland,CA,"1100 OAK ST
Oakland, CA
(37.798972, -122.264184)"
THEFT/LARCENY,01/13/2018 02:55:00 PM,18-900832,THEFT,31Y,500 HEGENBERGER RD,Oakland,CA,"500 HEGENBERGER RD
Oakland, CA
(37.742152, -122.196132)"
